TRY Data Explorer Output	2023-2-14
Species Trait Table
Specieslist: 79, 80, 82, 1802, 3159, 3218, 5228, 9081, 9844, 211262, 10791, 11145, 213860, 21618, 22021, 231771, 64592, 33256, 34417, 
Trait	TraitID	.Abronia latifolia.	.Abronia maritima.	.Abronia umbellata.	.Agoseris apargioides.	.Ambrosia chamissonis.	.Ammophila arenaria.	.Artemisia pycnocephala.	.Cakile maritima.	.Calystegia soldanella.	.Camissoniopsis cheiranthifolia.	.Carpobrotus edulis.	.Castilleja latifolia.	.Chorizanthe pungens.	.Ericameria ericoides.	.Erysimum menziesii.	.Grindelia stricta var. platyphylla.	.Lathyrus littoralis.	.Leymus mollis.	.Lupinus arboreus.	
Seed number per reproducton unit	138	0	0	0	0	0	2	0	6	2	0	0	0	0	0	0	0	0	0	0	
Seed oil content per seed mass	96	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	
Seed protein content per seed mass	97	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	
Seed spread rate	610	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Seed structure type	1108	0	0	0	0	0	4	0	5	0	0	0	0	0	0	0	0	0	0	0	
Seed terminal velocity	66	0	0	0	0	0	5	0	26	1	0	0	0	0	0	0	0	0	0	0	
Seed thickness	238	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Seed width	239	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
Seedbank density	1111	0	0	0	0	0	15	0	0	4	0	0	0	0	0	0	0	0	0	0	
Seedbank duration	2809	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	
Seedbank number of layers	2807	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	0	0	0	
Seedbank thickness of top layer	2808	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	
Seedbank type	159	0	0	0	0	0	26	0	0	3	0	0	0	0	0	0	0	0	0	0	
Seedling vigor	611	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Shoot branching type; shoot branching architecture	140	0	0	0	0	0	10	0	2	3	0	0	0	0	0	0	0	0	0	0	
Shoot carbon/nitrogen (C/N) ratio	409	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	
Shoot cyclicity	1118	0	0	0	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species environmental indicator value according to Ellenberg: continentality	1130	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	
Species environmental indicator value according to Ellenberg: light	1131	0	0	0	0	0	3	0	5	3	0	2	0	0	0	0	0	0	0	1	
Species environmental indicator value according to Ellenberg: moisture	1132	0	0	0	0	0	3	0	2	2	0	1	0	0	0	0	0	0	0	2	
Species environmental indicator value according to Ellenberg: nitrogen	1133	0	0	0	0	0	2	0	7	4	0	1	0	0	0	0	0	0	0	2	
Species environmental indicator value according to Ellenberg: pH 	1134	0	0	0	0	0	3	0	3	3	0	2	0	0	0	0	0	0	0	2	
Species environmental indicator value according to Ellenberg: salt tolerance	1135	0	0	0	0	0	4	0	5	3	0	3	0	0	0	0	0	0	0	2	
Species environmental indicator value according to Ellenberg: temperature	1136	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	
