OID_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
166,0,4,38,139.367906322869459,37,-121.800310932999992,36.831282392000048,-121.800782681999976,36.832479625000076,-17.575179706566878
167,0,4,27,139.516327644663420,38,-121.800310932999992,36.831282392000048,-121.800237310999989,36.832538191000026,2.698125902809899
168,0,4,42,148.655874760354976,39,-121.800310932999992,36.831282392000048,-121.801293592999968,36.832364255000073,-36.134521438940595
169,0,4,43,151.586618368272156,40,-121.800310932999992,36.831282392000048,-121.800893339999959,36.832565615000078,-20.043765611361909
170,0,4,28,152.632413331285647,41,-121.800310932999992,36.831282392000048,-121.800105684999949,36.832647843000075,6.889659596611544
171,0,4,37,153.083570531645790,42,-121.800310932999992,36.831282392000048,-121.800589346999971,36.832643564000080,-9.336947174307991
172,0,4,29,154.141486880274073,43,-121.800310932999992,36.831282392000048,-121.800316864999957,36.832671365000067,-0.196698390789460
173,0,5,6,9.616717275055878,1,-121.800329361999957,36.831468461000043,-121.800281565999967,36.831546135000053,26.319130641675596
174,0,5,3,15.122810120472419,2,-121.800329361999957,36.831468461000043,-121.800414957999976,36.831350835000080,-149.673835577384864
175,0,5,1,18.078482699945909,3,-121.800329361999957,36.831468461000043,-121.800523313999975,36.831421231000036,-106.853145783455290
176,0,5,12,19.886852114338719,4,-121.800329361999957,36.831468461000043,-121.800133798999980,36.831382438000048,118.687541045258271
177,0,5,4,20.714253905452821,5,-121.800329361999957,36.831468461000043,-121.800310932999992,36.831282392000048,175.447859302296962
178,0,5,7,23.334439552980612,6,-121.800329361999957,36.831468461000043,-121.800367512999969,36.831676481000045,-8.386571336597301
179,0,5,2,23.735461036354131,7,-121.800329361999957,36.831468461000043,-121.800571617999992,36.831556904000024,-65.574233118748637
180,0,5,11,24.507346443651478,8,-121.800329361999957,36.831468461000043,-121.800055386999986,36.831484738000029,85.773057963757111
181,0,5,13,27.664175995433062,9,-121.800329361999957,36.831468461000043,-121.800063438999985,36.831340214000079,120.961367023659150
182,0,5,8,33.729604114049813,10,-121.800329361999957,36.831468461000043,-121.800395661999971,36.831767692000028,-10.098964266639635
183,0,5,15,37.357500611981258,11,-121.800329361999957,36.831468461000043,-121.799910779999948,36.831458383000040,91.715439680295319
184,0,5,14,38.418848797502882,12,-121.800329361999957,36.831468461000043,-121.799907325999982,36.831399499000042,101.490036062319390
185,0,5,10,39.415967917830088,13,-121.800329361999957,36.831468461000043,-121.799892975999967,36.831524120000040,80.984101962599297
186,0,5,9,42.063999637727619,14,-121.800329361999957,36.831468461000043,-121.800213659999940,36.831835915000056,14.204010713657597
187,0,5,18,49.361489867007727,15,-121.800329361999957,36.831468461000043,-121.800016068999980,36.831835098000056,34.485030413820461
188,0,5,16,53.498346407027796,16,-121.800329361999957,36.831468461000043,-121.799732377999987,36.831422590000045,95.459928185079676
189,0,5,22,58.751976591939510,17,-121.800329361999957,36.831468461000043,-121.800303234999944,36.831997463000050,2.273543182213344
190,0,5,17,59.659161832658924,18,-121.800329361999957,36.831468461000043,-121.799830493999991,36.831826499000044,48.240655679164476
191,0,5,21,60.224703933236903,19,-121.800329361999957,36.831468461000043,-121.800132053999960,36.831987456000036,16.993316829892638
192,0,5,19,64.648364510564150,20,-121.800329361999957,36.831468461000043,-121.799908506999941,36.831942713000046,35.501953325387383
193,0,5,23,77.587660181401333,21,-121.800329361999957,36.831468461000043,-121.800428389999979,36.832163063000053,-6.537766691957915
194,0,5,20,77.871292133940472,22,-121.800329361999957,36.831468461000043,-121.799866302999988,36.832063299000026,32.036992029622411
195,0,5,26,84.757685172851950,23,-121.800329361999957,36.831468461000043,-121.800259250999943,36.832230137000067,4.231777736682860
196,0,5,30,85.215347400879253,24,-121.800329361999957,36.831468461000043,-121.800589418999948,36.832207340000025,-15.797496794032398
197,0,5,24,85.874237558397539,25,-121.800329361999957,36.831468461000043,-121.800100228999952,36.832220040000038,13.770018073616541
198,0,5,40,86.010527046208168,26,-121.800329361999957,36.831468461000043,-121.800783730999967,36.832152050000047,-28.115776265711517
199,0,5,25,87.801009238976306,27,-121.800329361999957,36.831468461000043,-121.800155208999968,36.832247159000076,10.191658186651841
200,0,5,44,91.608707470807062,28,-121.800329361999957,36.831468461000043,-121.800714203999974,36.832233796000025,-22.008982924185482
201,0,5,41,94.484819158964342,29,-121.800329361999957,36.831468461000043,-121.800888380999993,36.832191625000064,-31.856403884195192
202,0,5,31,96.981266745896690,30,-121.800329361999957,36.831468461000043,-121.800675622999961,36.832296855000038,-18.572418645313370
203,0,5,34,100.586608099446806,31,-121.800329361999957,36.831468461000043,-121.800380094999980,36.832373937000057,-2.578796425580475
204,0,5,33,100.835754144272215,32,-121.800329361999957,36.831468461000043,-121.800502569999992,36.832366369000056,-8.814300567349022
205,0,5,32,104.411149927937629,33,-121.800329361999957,36.831468461000043,-121.800602299999980,36.832383379000078,-13.485097617676976
206,0,5,35,107.112665926137794,34,-121.800329361999957,36.831468461000043,-121.800452905999975,36.832428539000034,-5.905678964438000
207,0,5,39,115.291088187654225,35,-121.800329361999957,36.831468461000043,-121.800633795999943,36.832478124000033,-13.624401323722877
208,0,5,36,117.306371097796557,36,-121.800329361999957,36.831468461000043,-121.800443394999945,36.832521536000058,-4.974781023358711
209,0,5,27,118.996415891866988,37,-121.800329361999957,36.831468461000043,-121.800237310999989,36.832538191000026,3.956935974478539
210,0,5,38,119.277803615395982,38,-121.800329361999957,36.831468461000043,-121.800782681999976,36.832479625000076,-19.817974123313231
211,0,5,42,131.458054310878396,39,-121.800329361999957,36.831468461000043,-121.801293592999968,36.832364255000073,-40.868240810115488
