OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
48,2,42,14.292429549471072,5,-123.782031106454184,39.512334418789870,-123.781979398999965,39.512456761000067,18.127078307712807
49,2,1,15.291672645048504,6,-123.781813172907320,39.512279155440979,-123.781757849999963,39.512410051000082,18.127216424653021
50,2,6,20.957057998194966,7,-123.781734581627902,39.512259226229460,-123.781658761999964,39.512438617000043,18.127266216408859
51,2,41,28.691600935617682,8,-123.782091388076097,39.512349704849832,-123.781987586999946,39.512595303000062,18.127040123495412
52,2,5,30.406394577807148,9,-123.781631362441345,39.512233051764582,-123.781521355999985,39.512493328000069,18.127331629170151
53,2,7,40.637379869908372,10,-123.781674423829514,39.512243971344773,-123.781527402999984,39.512591824000026,18.127304336514324
54,2,16,45.833340555446469,11,-123.781537825937647,39.512209332552004,-123.781372005999970,39.512601662000058,18.127390903211680
55,2,8,47.594711864903800,12,-123.781720664471521,39.512255697104074,-123.781548472999972,39.512663104000069,18.127275036361670
56,2,15,50.123907108714576,13,-123.781561175698897,39.512215253649408,-123.781379832999960,39.512644310000034,18.127376106284654
57,2,17,53.076142450397214,14,-123.781330819959777,39.512156839151992,-123.781138794999947,39.512611166000056,18.127522074786736
58,2,9,54.693676276333171,15,-123.781629264318227,39.512232519718452,-123.781431388999977,39.512700693000049,18.127332954893784
59,2,14,60.652648506284706,16,-123.781392257910710,39.512172418878784,-123.781172821999974,39.512691600000032,18.127483155962810
60,2,10,62.059408951901993,17,-123.781654273710458,39.512238861645649,-123.781429749999973,39.512770085000056,18.127317105900932
61,2,13,65.907891429775646,18,-123.781494817330582,39.512198426294944,-123.781256368999948,39.512762592000058,18.127418157351133
62,2,11,69.424034462247675,19,-123.781621836539927,39.512230636167658,-123.781370667999965,39.512824900000055,18.127337651681341
63,2,12,70.845848095884563,20,-123.781564586992985,39.512216118694376,-123.781308273999969,39.512822553000035,18.127373945625951
64,2,19,74.343951906525660,21,-123.781410507137835,39.512177046596705,-123.781141536999925,39.512813424000051,18.127471595163492
65,2,20,82.968634837340190,22,-123.781349591380831,39.512161599302090,-123.781049416999963,39.512871803000060,18.127510179909113
66,2,34,86.455168905499818,23,-123.781825584048534,39.512282302657781,-123.781512799999959,39.513022352000064,18.127208557849009
67,2,32,87.942087645965657,24,-123.781648814289156,39.512237477236226,-123.781330648999997,39.512990254000051,18.127320567772458
68,2,33,90.241718899858569,25,-123.781594348743070,39.512223665752465,-123.781267862999982,39.512996127000058,18.127355079904266
69,2,35,92.154764308138255,26,-123.781696506006327,39.512249570973310,-123.781363099999979,39.513038408000050,18.127290344436645
70,2,31,98.339499387666621,27,-123.781561810426226,39.512215414605251,-123.781206026999953,39.513057192000069,18.127375705049776
71,2,30,99.663958090928745,28,-123.781636770441779,39.512234423135624,-123.781276195999965,39.513087538000036,18.127328195071282
72,2,36,101.430740520195897,29,-123.781846963241932,39.512287723989239,-123.781479998999941,39.513155963000024,18.127195008510196
73,2,37,101.781040605741822,30,-123.782059212245045,39.512341545789361,-123.781690982999990,39.513212784000068,18.127060501618534
74,2,43,103.597861404778214,31,-123.782122899654979,39.512357695460594,-123.782814462999980,39.513121722000044,-35.034608767831621
75,2,38,104.801426432824897,32,-123.781975127670648,39.512320223798802,-123.781595969999941,39.513217316000059,18.127113789511085
76,2,29,113.584109346328347,33,-123.781528321231775,39.512206922320630,-123.781117382999980,39.513179192000045,18.127396926023327
77,2,39,114.290108466879687,34,-123.781979767888345,39.512321400457417,-123.781566280999982,39.513299715000080,18.127110849765007
78,2,40,121.241562980916427,35,-123.781847811474549,39.512287939083798,-123.781409173000000,39.513325757000068,18.127194474334818
79,2,23,131.503395009723562,36,-123.781477895545109,39.512194135210386,-123.781002125000001,39.513319792000054,18.127428884256442
80,2,24,132.385249765061900,37,-123.781532316302886,39.512207935402678,-123.781053355999973,39.513341141000069,18.127394393546176
81,2,27,133.629489681799527,38,-123.781614585748002,39.512228797496874,-123.781131124999945,39.513372654000072,18.127342259130298
82,2,22,134.444391686611311,39,-123.781384643418562,39.512170487961903,-123.780898230999966,39.513321319000056,18.127487973550988
83,2,21,141.071323106333296,40,-123.781289005176689,39.512146235538623,-123.780778614999974,39.513353792000039,18.127548500507320
84,2,25,141.405202349215983,41,-123.781440959817388,39.512184768911155,-123.780929363999974,39.513395184000039,18.127452288425520
85,2,28,143.566686619710310,42,-123.781736144457312,39.512259622533072,-123.781216732999951,39.513488541000065,18.127265227042724
86,2,26,148.377163357001024,43,-123.781584483104311,39.512221164000444,-123.781047664999960,39.513491259000041,18.127361338806033
