OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
54,3,10,29.437201737185045,14,-120.636556914516788,35.015570704979716,-120.636242870000004,35.015510256000013,103.168426837465645
55,3,4,29.543887293733661,15,-120.636661363631163,35.015203428087148,-120.636349433999953,35.015132289000064,105.493813584226501
56,3,34,32.409298957297779,16,-120.636283045509529,35.016533700960927,-120.635937289999958,35.016467148000054,103.168583268574977
57,3,33,34.784566408386944,17,-120.636270319992462,35.016578446683738,-120.635899223999942,35.016507016000048,103.168590539960917
58,3,11,36.614356847996987,18,-120.636557627386011,35.015568198312252,-120.636167014999970,35.015493011000046,103.168426434577810
59,3,39,39.148368608491793,19,-120.636347234474925,35.016307997644141,-120.635929584999985,35.016227606000029,103.168546608565933
60,3,9,40.911354094442480,20,-120.636581612505822,35.015483859162259,-120.636145158999966,35.015399848000065,103.168412732235296
61,3,12,45.009344348932480,21,-120.636567279215129,35.015534259497080,-120.636087106999994,35.015441833000061,103.168420919137532
62,3,32,46.509918662545310,22,-120.636260906893341,35.016611545182606,-120.635764719999941,35.016516036000034,103.168595917810691
63,3,15,47.710029108742532,23,-120.636511066995510,35.015731918633634,-120.636002081999962,35.015633946000037,103.168453026241352
64,3,40,48.220852278780363,24,-120.636358055790438,35.016269947258330,-120.635843617999967,35.016170925000033,103.168540425553161
65,3,16,49.854393033609568,25,-120.636486487217852,35.015818348244927,-120.635954624999940,35.015715972000066,103.168467069653275
66,3,14,52.981347331913121,26,-120.636530677486775,35.015662962336755,-120.635965456999926,35.015554165000012,103.168441825885665
67,3,7,55.573732232204812,27,-120.636612441805724,35.015375453481482,-120.636019566999963,35.015261333000062,103.168395123756937
68,3,26,58.433028922486720,28,-120.636410901555095,35.016084128132910,-120.635787517999972,35.015964135000047,103.168510242780428
69,3,8,60.300353503210324,29,-120.636574328528027,35.015509471915216,-120.635931027999973,35.015385645000038,103.168416894061565
70,3,17,69.423492477939348,30,-120.636508460454763,35.015741083994058,-120.635767829999978,35.015598522000055,103.168454520886741
71,3,18,71.038117841380625,31,-120.636521243335466,35.015696135622477,-120.635763387999972,35.015550258000069,103.168447214826685
72,3,27,71.736816619778651,32,-120.636354648404193,35.016281928463734,-120.635589333999988,35.016134615000055,103.168542371467808
73,3,28,78.022526396551854,33,-120.636356108458187,35.016276794556433,-120.635523735999982,35.016116573000026,103.168541537803321
74,3,13,79.991359681081448,34,-120.636572025182801,35.015517571196817,-120.635718656000009,35.015353308000037,103.168418210189529
75,3,29,80.697975287786434,35,-120.636341071578443,35.016329667875624,-120.635480155999957,35.016163952000049,103.168550127569503
76,3,30,80.837218563625669,36,-120.636315481966918,35.016419646999992,-120.635453079999991,35.016253645000056,103.168564746086787
77,3,5,81.514674175520241,37,-120.636657018283856,35.015218707802255,-120.635787400999959,35.015051317000015,103.168369739698676
78,3,19,81.664726401926515,38,-120.636500076606126,35.015770564046321,-120.635628852999943,35.015602864000073,103.168459306727513
79,3,6,82.691344744374291,39,-120.636625155387918,35.015330748373422,-120.635742983999990,35.015160941000033,103.168387862821618
80,3,31,82.919530856386373,40,-120.636292175648933,35.016501597347450,-120.635407557999926,35.016331319000066,103.168578054473201
