OID_,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
33,2,15,54.840294846708467,33,-121.800495506700756,36.831305842058690,-121.799910779999948,36.831458383000033,72.020070478315148
34,2,10,58.602834598653857,34,-121.800517820723442,36.831361113362249,-121.799892975999953,36.831524120000040,72.020057176096074
35,2,18,58.810934811527495,35,-121.800643134835980,36.831671511877708,-121.800016068999994,36.831835098000042,72.019982370599550
36,2,25,61.120191116297619,36,-121.800806900189684,36.832077148729141,-121.800155208999982,36.832247159000076,72.019884624442795
37,2,29,61.935134983598886,37,-121.800977248756652,36.832499086997792,-121.800316864999971,36.832671365000060,72.019782957140208
38,2,27,64.123315803375306,38,-121.800921025192821,36.832359826765874,-121.800237310999975,36.832538191000019,72.019816498787236
39,2,24,64.856293995050663,39,-121.800791756003832,36.832039637688936,-121.800100228999952,36.832220040000045,72.019893666859616
40,2,16,68.751868541446484,40,-121.800465434573496,36.831231353981678,-121.799732377999987,36.831422590000038,72.020088449665081
41,2,19,71.624071067489950,41,-121.800672192641713,36.831743486630927,-121.799908506999927,36.831942713000046,72.019965015890506
42,2,17,74.262599982050119,42,-121.800622311670566,36.831619933835206,-121.799830493999977,36.831826499000051,72.019994799780136
43,2,28,79.047998827156306,43,-121.800948534596046,36.832427964915738,-121.800105684999934,36.832647843000075,72.019800082173347
44,2,20,79.335832536222739,44,-121.800712215863911,36.831842621947189,-121.799866302999973,36.832063299000026,72.019941131145671
45,3,16,7.317895455422955,1,-121.799707252879941,36.831359817032471,-121.799732377999987,36.831422590000038,-17.835446874156130
46,3,13,7.661235321185971,2,-121.800037134810765,36.831274495932163,-121.800063438999970,36.831340214000079,-17.835643777139627
47,3,4,8.315247736403098,3,-121.800282383110485,36.831211063872537,-121.800310933000006,36.831282392000034,-17.835790155863879
48,3,14,9.658651433681154,4,-121.799874164004578,36.831316647055388,-121.799907325999982,36.831399499000035,-17.835546512551439
49,3,12,14.044285935542812,5,-121.800085579056116,36.831261966155495,-121.800133798999980,36.831382438000034,-17.835672691721932
50,3,15,15.973589557215558,6,-121.799855936298371,36.831321361492179,-121.799910779999948,36.831458383000033,-17.835535636393534
51,3,3,18.387956551681782,7,-121.800351823888690,36.831193103304798,-121.800414957999976,36.831350835000073,-17.835831605144346
52,3,10,22.431651206324251,8,-121.799815959231793,36.831331701199069,-121.799892975999953,36.831524120000040,-17.835511756419088
53,3,11,22.708879135757801,9,-121.799977418030679,36.831289941241060,-121.800055386999986,36.831484738000029,-17.835608112271935
